Datetime,Adj Close,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,SMA_50
2025-06-04 13:30:00+00:00,140.7899932861328,140.7899932861328,142.38999938964844,139.5449981689453,142.22000122070312,108070348,65.2019405714901,3.7224227994690864,-0.2128618987446899,3.935284698213776,135.910489654541,127.46170166015624
2025-06-04 17:30:00+00:00,141.83009338378906,141.83009338378906,141.97000122070312,140.66000366210938,140.7899932861328,42749006,66.84526782980359,3.7548521857852393,-0.1443460099428297,3.899198195728069,136.28299407958986,128.11990356445312
2025-06-05 13:30:00+00:00,141.57870483398438,141.57870483398438,144.0,140.74000549316406,142.14999389648438,137760625,66.03358021926631,3.7174156988885727,-0.1454259974715972,3.86284169636017,136.70117950439453,128.82207763671877
2025-06-05 17:30:00+00:00,139.9499969482422,139.9499969482422,141.78990173339844,138.8300018310547,141.57350158691406,63307530,60.87599172385075,3.5157959909315366,-0.2776365643429068,3.793432555274443,137.1121795654297,129.445577545166
2025-06-06 13:30:00+00:00,142.11500549316406,142.11500549316406,143.27000427246094,141.50999450683594,142.53500366210938,99476894,64.81054543484895,3.4904730154497656,-0.2423676318597425,3.732840647309508,137.5423797607422,130.0165817260742
2025-06-06 17:30:00+00:00,141.69000244140625,141.69000244140625,142.86000061035156,141.63999938964844,142.11500549316406,39694136,63.461338754441705,3.3969522297845174,-0.2687107340199928,3.66566296380451,137.98738479614258,130.6197817993164
2025-06-09 13:30:00+00:00,142.77000427246094,142.77000427246094,145.0,141.94000244140625,143.26499938964844,129647344,65.4307649174727,3.37112324486273,-0.2356317751534242,3.6067550200161542,138.52838516235352,131.18789184570312
2025-06-09 17:30:00+00:00,142.5500030517578,142.5500030517578,143.02999877929688,141.97000122070312,142.77499389648438,39577542,64.66613852846221,3.294919546821035,-0.2494683785560956,3.5443879253771304,139.09038543701172,131.75109191894532
2025-06-10 13:30:00+00:00,142.65499877929688,142.65499877929688,143.28500366210938,141.52499389648438,142.6699981689453,84444420,64.87709310784737,3.206042581642521,-0.2706762749876876,3.4767188566302085,139.4431350708008,132.32159194946288
2025-06-10 17:30:00+00:00,143.9499969482422,143.9499969482422,144.2899932861328,142.10499572753906,142.6501007080078,48656218,67.4577355519274,3.2031782311576364,-0.218832500378058,3.4220107315356945,139.8661346435547,132.92439193725585
2025-06-11 13:30:00+00:00,143.7100067138672,143.7100067138672,144.99000549316406,142.7729949951172,144.61000061035156,102933634,66.4828445203692,3.145286106170545,-0.22137970029212,3.366665806462665,140.22913513183593,133.5401921081543
2025-06-11 17:30:00+00:00,142.83999633789062,142.83999633789062,143.8000030517578,141.8699951171875,143.72500610351562,49345499,62.932156798731626,2.9946827747646125,-0.2975864253584421,3.2922692001230547,140.6305549621582,134.12809204101563
2025-06-12 13:30:00+00:00,144.3300018310547,144.3300018310547,145.0,141.8699951171875,141.97999572753906,103798639,66.25604905221543,2.961422109730165,-0.2646776723143116,3.226099782044477,140.85330505371093,134.73579208374022
2025-06-12 17:30:00+00:00,145.0,145.0,145.0,144.25,144.3249969482422,42553975,67.66033505126327,2.9550619314027244,-0.2168302805134021,3.1718922119161266,141.14430541992186,135.2953921508789
